Reference,,Value,,Footprint,,Datasheet
A1,Arduino_UNO_R3_Shield,reprapltd-kicad:Arduino_UNO_R3_Shield,https://www.arduino.cc/en/Main/arduinoBoardUno,,,
C1,0.1uF,Capacitor_SMD:C_0805_2012Metric,~,,,
C2,220uF,Capacitor_SMD:C_Elec_10x10.2,~,,,
J1,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J10,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J11,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J12,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J13,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J2,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J3,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J4,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J5,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J6,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J7,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J8,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
J9,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,
Q1,DMN6075S,Package_TO_SOT_SMD:SOT-23,http://www.diodes.com/assets/Datasheets/DMN6075S.pdf,,,
Q2,DMN6075S,Package_TO_SOT_SMD:SOT-23,http://www.diodes.com/assets/Datasheets/DMN6075S.pdf,,,
Q3,DMN6075S,Package_TO_SOT_SMD:SOT-23,http://www.diodes.com/assets/Datasheets/DMN6075S.pdf,,,
Q4,DMN6075S,Package_TO_SOT_SMD:SOT-23,http://www.diodes.com/assets/Datasheets/DMN6075S.pdf,,,
Q5,DMN6075S,Package_TO_SOT_SMD:SOT-23,http://www.diodes.com/assets/Datasheets/DMN6075S.pdf,,,
Q6,DMN6075S,Package_TO_SOT_SMD:SOT-23,http://www.diodes.com/assets/Datasheets/DMN6075S.pdf,,,
Q7,DMN6075S,Package_TO_SOT_SMD:SOT-23,http://www.diodes.com/assets/Datasheets/DMN6075S.pdf,,,
Q8,DMN6075S,Package_TO_SOT_SMD:SOT-23,http://www.diodes.com/assets/Datasheets/DMN6075S.pdf,,,
Q9,DMN6075S,Package_TO_SOT_SMD:SOT-23,http://www.diodes.com/assets/Datasheets/DMN6075S.pdf,,,
R1,10K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,
R2,10K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,
R3,10K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,
R4,10K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,
R5,10K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,
R6,10K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,
R7,10K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,
R8,10K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,
R9,10K,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,
